Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.065100,-0.012540,-0.046203,375.096222,-808.631287,540.916809,-0.210708,-0.030559,-0.178113,388.379608,-1027.066284,925.821594,0.400593,0.096068,-0.107735,-31.051052,-947.717834,631.047302,-0.002431,-0.029122,-0.076401,-257.143341,-907.649353,615.588745,-0.018743,-0.019958,0.008743,250.405487,-828.530762,524.824890,-0.244873,0.021459,0.218476,812.651855,-998.059204,665.323059,2.661792,-2.159812,0.464706,1065.285645,-948.959167,679.570984,0.034748,0.012248,-0.022049,536.824890,-843.507446,537.361816,0.056005,0.004955,-0.037595,389.160309,-748.780334,215.337448
2,0,0.064235,-0.012845,-0.046472,374.978546,-808.392456,540.938477,-0.198341,-0.026386,-0.187057,388.331604,-1026.472168,926.059082,0.400600,0.093855,-0.113188,-31.139423,-947.465332,631.004639,-0.004452,-0.021181,-0.078181,-257.287018,-907.396912,615.519348,-0.019549,-0.020743,0.009782,250.267899,-828.248901,524.830322,-0.243392,0.022091,0.218320,812.452087,-998.007629,665.187256,2.662690,-2.160192,0.466195,1065.071533,-948.948364,679.495117,0.032427,0.012125,-0.019979,536.708496,-843.261108,537.434021,0.056442,0.005007,-0.036944,389.078888,-748.621887,215.329681
3,0,0.064873,-0.012572,-0.047470,374.818756,-808.122864,540.950256,-0.200806,-0.027906,-0.184593,388.035065,-1026.114502,926.126953,0.401250,0.092366,-0.113833,-31.276890,-947.247986,630.901794,-0.002122,-0.025523,-0.077151,-257.480621,-907.116943,615.424438,-0.019300,-0.021569,0.011339,250.125702,-827.955017,524.843140,-0.243095,0.023095,0.218293,812.257996,-998.006775,665.032593,2.648521,-2.151320,0.471730,1065.087036,-948.593933,679.052979,0.032609,0.013493,-0.020063,536.553711,-843.010315,537.449097,0.044462,-0.006257,-0.018804,389.000153,-748.152588,215.540710
4,0,0.065048,-0.012927,-0.047666,374.675934,-807.847412,540.969788,-0.200814,-0.026221,-0.184172,387.753387,-1025.738892,926.347351,0.400512,0.090954,-0.114163,-31.423010,-947.082214,630.712280,-0.002847,-0.025284,-0.077273,-257.667969,-906.808167,615.355103,-0.018575,-0.022684,0.014817,249.956696,-827.640259,524.867554,-0.241914,0.024872,0.218802,812.031433,-998.018005,664.829651,2.649433,-2.151905,0.473754,1064.839478,-948.522095,678.986450,0.031084,0.011409,-0.020059,536.419373,-842.770813,537.518005,0.044355,-0.006973,-0.019217,388.855408,-747.946655,215.531464
5,0,0.065218,-0.013162,-0.046692,374.540680,-807.539978,540.999878,-0.202282,-0.029126,-0.187398,387.627991,-1025.237549,926.362915,0.399616,0.094351,-0.114513,-31.530354,-946.963562,630.442871,-0.003037,-0.026729,-0.080164,-257.845459,-906.482300,615.274902,-0.019966,-0.023051,0.011413,249.796890,-827.354187,524.899963,-0.240711,0.026115,0.218213,811.797424,-998.062988,664.538147,2.664944,-2.165376,0.468820,1064.346069,-948.799561,679.328552,0.029831,0.013016,-0.019402,536.246643,-842.453186,537.563660,0.045283,-0.008095,-0.018367,388.691498,-747.733948,215.527908
6,0,0.062470,-0.012963,-0.047151,374.374664,-807.209290,541.057739,-0.211762,-0.031179,-0.183046,387.273254,-1024.955200,926.425232,0.400746,0.090601,-0.113545,-31.806126,-946.848450,630.156494,0.001833,-0.027542,-0.079910,-257.976440,-906.057678,615.131714,-0.020311,-0.022294,0.010352,249.642227,-827.063293,524.913330,-0.239112,0.025666,0.216347,811.585327,-998.143982,664.148560,2.664937,-2.163223,0.469505,1064.072754,-948.651306,679.165833,0.031252,0.010985,-0.019623,536.095520,-842.141663,537.598328,0.044927,-0.007286,-0.018057,388.495789,-747.501953,215.511520
7,0,0.064832,-0.013205,-0.046169,374.195679,-806.837036,541.034973,-0.199451,-0.030347,-0.188322,387.086945,-1024.063110,926.769226,0.403498,0.090649,-0.106006,-32.067268,-946.793396,629.716003,0.004579,-0.020745,-0.082748,-258.077026,-905.504700,614.986816,-0.018172,-0.021093,0.009392,249.467026,-826.749084,524.906494,-0.239192,0.016054,0.213463,811.523682,-998.307861,663.600403,2.668942,-2.164746,0.469209,1063.700928,-948.586243,679.153625,0.033574,0.011357,-0.019479,535.871277,-841.781921,537.600891,0.045833,-0.006989,-0.017244,388.239807,-747.269531,215.474213
8,0,0.051538,-0.016816,-0.040092,374.080811,-806.400452,541.273376,-0.202972,-0.030554,-0.188363,386.869446,-1023.507568,926.826965,0.404514,0.089728,-0.105125,-32.256363,-946.742371,629.313354,0.006134,-0.021103,-0.081931,-258.252869,-905.070374,614.899597,-0.019437,-0.020616,0.010400,249.254944,-826.398865,524.894104,-0.236461,0.018491,0.216197,811.172852,-998.405701,663.047791,2.688440,-2.176660,0.459418,1063.057983,-948.824402,679.561646,0.034845,0.013177,-0.019261,535.669983,-841.381287,537.557495,0.044193,-0.007593,-0.017661,387.961304,-746.984802,215.434860
9,0,0.052622,-0.016186,-0.040546,373.839447,-805.989502,541.210510,-0.201286,-0.029611,-0.189865,386.656952,-1022.720093,926.963013,0.403809,0.089471,-0.103522,-32.482986,-946.698792,628.856018,0.008124,-0.021325,-0.086671,-258.391357,-904.413635,614.828430,-0.023750,-0.021897,0.012780,249.031250,-826.091248,524.821106,-0.231723,0.028757,0.217645,810.638611,-998.396973,662.519470,2.683711,-2.170464,0.462859,1062.767456,-948.512939,679.348083,0.032487,0.012261,-0.017999,535.420837,-840.919739,537.519836,0.044456,-0.008100,-0.017760,387.679230,-746.687195,215.374207
