Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.078639,-0.019380,-0.002539,370.366180,-813.435120,550.988586,-0.136169,0.013006,-0.194816,380.111420,-1040.532104,922.947815,0.448906,0.085893,-0.008174,-29.768366,-1001.216064,646.376160,0.000953,0.020959,0.107716,-263.132507,-1001.754028,638.432983,-0.013252,-0.025265,0.036691,244.807846,-833.737793,534.115356,-0.045479,-0.102712,0.136668,798.920105,-1040.894287,674.516602,0.295504,-0.079443,-0.109174,1029.300903,-1044.683228,662.340027,0.012661,0.028167,-0.001909,533.932678,-841.342224,547.154968,0.087405,0.023728,-0.019597,383.397949,-753.871155,225.963516
2,0,0.077625,-0.019081,-0.003438,370.365540,-813.412720,550.951111,-0.132228,0.013798,-0.191785,380.041595,-1040.280273,923.040161,0.461695,0.087204,-0.009927,-29.576605,-1001.415283,646.712952,0.014933,-0.009983,0.103521,-263.162537,-1001.923584,638.503601,-0.014647,-0.026103,0.036341,244.839035,-833.697937,534.073181,-0.046444,-0.101893,0.137536,798.885681,-1040.884521,674.491699,0.294736,-0.077779,-0.108718,1029.246460,-1044.780396,662.266174,0.013416,0.027400,-0.002588,533.938599,-841.368408,547.085205,0.065720,0.026706,-0.034706,383.464630,-753.479492,226.092957
3,0,0.076801,-0.018911,-0.003018,370.380951,-813.396423,550.883362,-0.135396,0.012446,-0.196229,380.157867,-1040.056396,923.017151,0.460476,0.089862,-0.006546,-29.645565,-1001.356934,646.738770,0.017121,-0.010198,0.105360,-263.161194,-1002.144348,638.494019,-0.014607,-0.025272,0.035422,244.840607,-833.647400,534.038513,-0.047101,-0.100392,0.138398,798.860962,-1040.879761,674.478088,0.286764,-0.067395,-0.116889,1028.907593,-1044.796997,662.494263,0.012454,0.027240,-0.004326,533.939941,-841.393738,547.008728,0.065940,0.027137,-0.035783,383.494659,-753.637146,225.963943
4,0,0.075195,-0.018511,-0.003814,370.402588,-813.356262,550.839355,-0.135886,0.012125,-0.197804,380.153625,-1039.765747,923.054993,0.457665,0.091699,-0.005102,-29.678617,-1001.316772,646.754822,0.006775,0.020959,0.110294,-263.091614,-1002.380737,638.447205,-0.015780,-0.024901,0.035742,244.860779,-833.582520,533.990356,-0.047801,-0.100843,0.138166,798.830627,-1040.879761,674.483887,0.285767,-0.067399,-0.118227,1028.884644,-1044.914062,662.358704,0.011611,0.029936,-0.003038,533.968323,-841.357666,546.934509,0.086734,0.024527,-0.021803,383.435944,-754.296143,225.686584
5,0,0.074292,-0.018099,-0.004936,370.374023,-813.311523,550.800293,-0.136685,0.012063,-0.199632,380.126282,-1039.435913,923.126526,0.456529,0.092742,-0.004028,-29.698000,-1001.275330,646.821167,0.019484,-0.010603,0.106992,-263.156830,-1002.481079,638.577332,-0.016697,-0.025452,0.037001,244.869781,-833.548767,533.951843,-0.047591,-0.099685,0.137464,798.776062,-1040.891479,674.488037,0.284057,-0.066029,-0.118543,1028.798706,-1045.094849,662.211914,0.010149,0.027939,-0.003546,533.962708,-841.348511,546.921936,0.085975,0.024232,-0.022005,383.437714,-754.424011,225.615189
6,0,0.072303,-0.018200,-0.005306,370.353577,-813.257996,550.785461,-0.137626,0.012492,-0.200333,380.107269,-1039.100342,923.183533,0.453224,0.093345,-0.002902,-29.727364,-1001.234741,646.895813,0.014918,0.000572,0.110481,-263.168030,-1002.532837,638.604309,-0.017338,-0.025494,0.035633,244.851456,-833.509521,533.904724,-0.048057,-0.100613,0.135358,798.734375,-1040.900269,674.504028,0.283328,-0.066307,-0.120009,1028.744995,-1045.277710,662.069214,0.011176,0.028421,-0.002870,533.959656,-841.279846,546.866455,0.060783,0.027557,-0.038731,383.523438,-753.931091,225.772614
7,0,0.074055,-0.018652,-0.004471,370.351929,-813.183716,550.682373,-0.139778,0.012932,-0.198590,380.093140,-1038.749268,923.212585,0.451336,0.095478,0.000041,-29.774496,-1001.186951,646.978455,0.008294,0.015093,0.123490,-263.207520,-1002.619507,638.787781,-0.018319,-0.026719,0.036385,244.852539,-833.468384,533.847595,-0.047994,-0.098763,0.135731,798.656189,-1040.906616,674.527588,0.290984,-0.077377,-0.112795,1029.031006,-1045.552856,661.552551,0.006959,0.027459,-0.002208,533.955994,-841.190613,546.873108,0.058182,0.027512,-0.039940,383.507965,-754.000732,225.706802
8,0,0.073497,-0.017936,-0.004714,370.323486,-813.126343,550.611694,-0.140213,0.013069,-0.197293,380.074982,-1038.391357,923.276550,0.450590,0.094660,-0.002291,-29.694473,-1001.184082,647.066956,0.015186,-0.009232,0.121851,-263.312927,-1002.587341,638.947266,-0.018718,-0.026840,0.037335,244.850189,-833.434875,533.773132,-0.048985,-0.099789,0.134082,798.611328,-1040.898926,674.569336,0.289690,-0.077157,-0.114886,1028.964233,-1045.770508,661.483459,0.003388,0.028116,-0.001230,533.983276,-841.086060,546.835510,0.055941,0.027256,-0.040747,383.496887,-754.055786,225.631714
9,0,0.072417,-0.018883,-0.004437,370.312836,-813.060486,550.530823,-0.140760,0.014258,-0.195821,380.072937,-1038.038330,923.299011,0.450068,0.095905,-0.001140,-29.692152,-1001.180908,647.149902,0.003553,0.018595,0.113289,-263.055176,-1002.935059,639.027771,-0.021257,-0.026887,0.038828,244.817505,-833.373108,533.687744,-0.050444,-0.099881,0.139024,798.496094,-1040.963013,674.604187,0.287951,-0.075174,-0.116061,1028.828735,-1046.051392,661.496643,0.007510,0.027421,-0.002863,533.948547,-841.011230,546.731750,0.055869,0.027543,-0.039292,383.480408,-754.161499,225.519669
