Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
4,0,-0.087969,-0.071808,-0.028691,-319.061493,-1449.461670,566.494019,-0.274525,-0.064759,-0.063733,-333.861359,-1545.881714,916.665283,-0.743683,-0.754884,-1.092940,-515.799988,-1472.776001,359.669342,0.210424,-1.378456,-0.873121,-536.052795,-1340.593994,150.213837,-0.228022,-0.156157,-0.192595,-441.399445,-1451.298462,535.177002,-1.103300,0.512049,1.233867,-60.623943,-1445.194946,400.725311,3.239408,1.370237,-0.700338,-29.216654,-1310.592285,154.966980,-0.235355,0.046493,-0.072257,-154.894089,-1457.222412,573.404358,-0.212772,-0.085760,-0.058481,-266.328918,-1426.970459,236.798935
5,0,-0.092796,-0.070849,-0.025625,-317.917938,-1450.432739,566.056580,-0.265429,-0.063010,-0.065846,-332.836945,-1546.865479,916.479126,-0.745575,-0.747659,-1.095369,-515.182983,-1473.201660,359.546539,0.226178,-1.367326,-0.842463,-535.529907,-1341.127441,150.437500,-0.235993,-0.157880,-0.199883,-440.286926,-1452.508057,534.635376,-1.084400,0.529013,1.233090,-60.006554,-1445.717407,400.337402,3.261691,1.358772,-0.690410,-29.368977,-1310.566650,154.619492,-0.231769,0.046629,-0.070097,-153.807236,-1457.905273,572.841125,-0.216956,-0.084147,-0.054949,-265.500671,-1428.849976,236.253464
6,0,-0.095490,-0.069825,-0.027749,-316.834137,-1451.269775,565.541382,-0.268841,-0.061803,-0.058848,-331.269745,-1547.735474,915.982483,-0.747653,-0.741934,-1.098013,-514.605957,-1473.676636,359.452301,0.242475,-1.346903,-0.826597,-535.335449,-1341.470215,150.674561,-0.243526,-0.158693,-0.173477,-438.982178,-1454.221802,534.069885,-1.080477,0.517180,1.236007,-58.854210,-1446.235229,399.890228,3.271974,1.344704,-0.664473,-29.286163,-1310.396362,154.584229,-0.235264,0.045026,-0.068539,-152.669250,-1458.618774,572.257019,-0.221687,-0.085217,-0.051319,-264.721924,-1430.815918,235.603378
7,0,-0.096771,-0.070214,-0.025272,-315.667267,-1452.347778,564.889221,-0.266392,-0.067660,-0.066213,-329.602814,-1548.241089,915.448486,-0.747757,-0.734648,-1.098862,-514.013672,-1474.143188,359.314270,0.246124,-1.342580,-0.827304,-535.417236,-1341.484863,150.786407,-0.252380,-0.162360,-0.197913,-437.787903,-1455.269775,533.315857,-1.079963,0.531916,1.234126,-57.695908,-1447.037842,399.527863,3.258410,1.365025,-0.688181,-28.821388,-1310.512573,154.578201,-0.226155,0.039736,-0.068568,-151.586212,-1459.300049,571.526855,-0.223769,-0.085083,-0.047974,-263.930756,-1432.876831,234.870010
8,0,-0.102526,-0.069834,-0.023935,-314.468933,-1453.418945,564.231201,-0.270104,-0.068644,-0.041264,-328.738251,-1549.216553,914.903259,-0.748987,-0.728727,-1.100044,-513.458191,-1474.677612,359.230652,0.245580,-1.335915,-0.833172,-535.567688,-1341.415649,150.945984,-0.257518,-0.164472,-0.197078,-436.467896,-1456.805420,532.538086,-1.109692,0.505375,1.240520,-55.889896,-1448.014893,398.952728,3.265552,1.360577,-0.681715,-28.776793,-1310.622437,154.419846,-0.229020,0.045409,-0.063746,-150.358322,-1460.049561,570.810852,-0.225878,-0.081857,-0.044992,-263.157074,-1434.966553,234.109848
9,0,-0.107270,-0.070376,-0.022118,-313.249176,-1454.428345,563.525757,-0.271427,-0.066628,-0.045784,-326.895874,-1550.040161,914.207092,-0.749067,-0.721865,-1.101751,-512.918579,-1475.249023,359.158325,0.248116,-1.334700,-0.831866,-535.585327,-1341.525024,151.104736,-0.264798,-0.165562,-0.172129,-435.086426,-1458.614502,531.776001,-1.077592,0.535298,1.237465,-55.040886,-1448.474731,398.531403,3.257968,1.374767,-0.705231,-28.366970,-1310.707520,154.495193,-0.230648,0.046594,-0.061366,-149.166534,-1460.824219,570.046997,-0.231437,-0.083205,-0.038822,-262.432953,-1437.162964,233.245453
10,0,-0.111754,-0.068508,-0.023279,-312.060120,-1455.557861,562.749512,-0.286235,-0.078954,-0.050878,-324.712036,-1551.202759,913.068298,-0.750105,-0.712020,-1.103267,-512.374329,-1475.858765,359.026672,0.236441,-1.313750,-0.885113,-536.381714,-1340.479004,151.457870,-0.272368,-0.167906,-0.197662,-433.842834,-1459.853271,530.950378,-1.076935,0.533412,1.235458,-53.614521,-1449.211914,397.871094,3.251512,1.392506,-0.708235,-27.932035,-1310.881348,154.419067,-0.232071,0.046249,-0.056654,-147.985703,-1461.553589,569.183655,-0.235384,-0.079848,-0.035147,-261.661346,-1439.378174,232.409393
11,0,-0.111759,-0.067182,-0.020709,-310.788330,-1456.713745,561.842224,-0.276672,-0.079595,-0.041893,-323.136566,-1551.940186,912.534058,-0.750257,-0.703457,-1.105173,-511.796417,-1476.452148,358.911957,0.240048,-1.325416,-0.840480,-535.713196,-1341.541626,151.635086,-0.280160,-0.170422,-0.195657,-432.441101,-1461.463623,530.092407,-1.075010,0.539415,1.235813,-52.164898,-1450.101196,397.270355,3.266088,1.379295,-0.702518,-28.029575,-1310.831787,154.326263,-0.230429,0.047257,-0.055142,-146.790375,-1462.310913,568.292664,-0.241017,-0.080923,-0.030682,-260.943329,-1441.690186,231.461655
12,0,-0.119953,-0.067515,-0.019916,-309.611420,-1457.767212,561.089539,-0.278956,-0.078834,-0.037680,-321.402344,-1552.761108,911.547974,-0.752234,-0.697937,-1.108696,-511.188690,-1477.108032,358.837372,0.242489,-1.314657,-0.842685,-535.664978,-1341.735596,151.854126,-0.289400,-0.174849,-0.195014,-431.046051,-1463.088867,529.167908,-1.065307,0.533863,1.235467,-50.520210,-1450.912842,396.543396,3.302048,1.346981,-0.610811,-28.622643,-1310.732910,153.696976,-0.225015,0.039243,-0.053274,-145.665039,-1463.033936,567.289429,-0.244672,-0.078213,-0.027631,-260.242310,-1444.119629,230.555435
