Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.015678,0.016002,-0.195156,-139.579727,-1567.545654,485.108093,-0.134981,0.088445,0.118750,-165.035141,-1828.776855,772.341797,-0.154506,-0.341581,-1.296704,-415.623260,-1518.500732,388.864960,-1.225635,0.538768,-1.509937,-415.861908,-1282.736206,326.853699,0.018906,0.008140,-0.273231,-264.644012,-1564.068115,481.154205,2.083916,-1.269426,-0.774238,174.917542,-1641.160156,391.644012,-0.475477,-0.386480,1.120373,211.219971,-1388.112305,301.296783,0.000474,0.048091,-0.426326,20.545410,-1618.312134,465.260803,,,,,,
2,0,-0.024168,0.006848,-0.193584,-141.012054,-1567.041748,484.742249,-0.136170,0.087434,0.116680,-166.452408,-1828.089722,771.955322,-0.153467,-0.336262,-1.293379,-417.133453,-1517.810059,388.347626,-1.222362,0.545509,-1.511491,-416.809540,-1282.066650,326.867584,0.001894,0.005117,-0.273760,-266.099579,-1563.471191,480.256683,2.085492,-1.263518,-0.810983,173.908875,-1640.989014,390.992676,-0.469298,-0.401038,1.116717,210.629532,-1387.620605,300.742737,0.023744,0.036489,-0.424650,19.235035,-1617.833008,464.752075,,,,,,
3,0,-0.024601,0.005901,-0.194877,-142.333939,-1566.546753,484.197357,-0.136353,0.088019,0.117660,-167.991455,-1827.407471,771.580261,-0.154366,-0.334182,-1.291187,-418.580719,-1517.153564,387.810577,-1.188993,0.559456,-1.519502,-418.156036,-1281.649536,326.597778,0.000517,0.006165,-0.269994,-267.305145,-1563.004150,479.862610,2.072202,-1.240023,-0.864695,173.143585,-1640.749634,389.864685,-0.472523,-0.389344,1.115966,209.311127,-1387.222778,300.528015,0.019964,0.038634,-0.424216,18.001692,-1617.276367,464.130463,,,,,,
4,0,-0.024107,0.006906,-0.194907,-143.595169,-1566.063477,483.623749,-0.137398,0.088108,0.117857,-169.527832,-1826.648438,771.138489,-0.170990,-0.330257,-1.298771,-419.821289,-1516.723022,386.761353,-1.192844,0.526984,-1.533248,-418.964935,-1280.461792,327.152832,0.000155,0.008981,-0.273922,-268.672211,-1562.409302,479.351501,-0.061012,0.800261,0.533961,148.081497,-1638.609863,363.043121,-0.462099,-0.413464,1.099135,208.493820,-1386.449097,299.623108,0.019310,0.043732,-0.426631,16.584187,-1616.837158,463.454041,,,,,,
5,0,-0.017804,0.015880,-0.195508,-144.662735,-1565.615112,482.900848,-0.138345,0.086372,0.115715,-170.988342,-1825.910400,770.736389,-0.170820,-0.328271,-1.297951,-421.139099,-1516.073242,386.302399,-1.209499,0.519751,-1.518252,-419.382629,-1279.717529,327.290344,0.005581,0.007883,-0.276102,-269.815247,-1561.834961,478.778687,-0.066131,0.782864,0.523172,147.082092,-1638.185303,362.528076,-0.467283,-0.395484,1.108202,207.366379,-1386.279175,299.815308,0.016090,0.041478,-0.427440,15.393924,-1616.392090,462.921783,,,,,,
6,0,-0.054753,0.009687,-0.225962,-146.659775,-1564.217773,483.194366,-0.139753,0.085452,0.115571,-172.517136,-1825.157959,770.338135,-0.169744,-0.326873,-1.297615,-422.414673,-1515.400879,385.817688,-1.206200,0.518684,-1.516376,-420.257294,-1279.002075,327.208649,0.000585,0.006838,-0.278137,-271.011536,-1561.234741,478.252014,-0.027744,0.787801,0.518186,145.596329,-1637.027222,361.892761,-0.467461,-0.391399,1.110851,206.415619,-1385.876099,299.507263,0.021393,0.043631,-0.426632,14.158016,-1615.959839,462.165344,,,,,,
7,0,-0.016737,0.015877,-0.197092,-146.922745,-1564.629150,481.783844,-0.140374,0.084047,0.115910,-174.000839,-1824.353271,769.922058,-0.185993,-0.354416,-1.303544,-423.735382,-1515.065308,385.500275,-1.193978,0.523904,-1.536747,-421.606323,-1278.111450,327.121277,0.001548,0.007946,-0.275975,-272.076263,-1560.593628,477.776764,-0.030033,0.794205,0.516330,144.562775,-1636.595703,361.634125,-0.457620,-0.410456,1.094659,205.358368,-1385.067017,298.448059,0.020080,0.037298,-0.409278,13.471506,-1615.407959,461.750427,,,,,,
8,0,-0.037266,0.023455,-0.213875,-148.219971,-1563.648438,482.013275,-0.141210,0.082812,0.114293,-175.418472,-1823.580078,769.557556,-0.168460,-0.333369,-1.304658,-424.705963,-1514.145874,385.007690,-1.192419,0.520888,-1.538539,-422.504578,-1277.286865,327.010559,-0.001056,0.009817,-0.277003,-273.149536,-1559.960815,477.376953,-0.059510,0.785644,0.518609,143.127655,-1636.565552,360.622681,-0.464008,-0.383149,1.110622,204.212997,-1385.007446,298.679626,0.020138,0.041201,-0.424984,12.097895,-1615.080688,461.077515,,,,,,
9,0,-0.016787,0.016817,-0.197805,-148.961929,-1563.600342,480.892059,-0.141890,0.080621,0.113833,-176.801315,-1822.816162,769.215759,-0.167948,-0.328739,-1.303640,-425.806854,-1513.370483,384.532196,-1.197419,0.515116,-1.522053,-422.883331,-1276.552734,326.860260,0.001807,0.009245,-0.276908,-274.182251,-1559.283936,476.973480,-0.056687,0.786498,0.520514,141.744263,-1636.116943,359.936981,-0.459446,-0.384481,1.106744,203.123505,-1384.529053,298.168793,0.018883,0.033591,-0.428400,10.886969,-1614.690674,460.375458,,,,,,
