Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.120957,-0.083497,0.197157,-294.577240,-1622.927002,536.124329,2.708368,-0.762073,1.237300,-261.893127,-1836.881592,913.284912,-0.910624,-1.078393,-0.967846,-501.635681,-1774.938354,356.831207,-0.507684,-1.305489,-0.916814,-518.650452,-1683.825073,126.987221,-0.147519,-0.208002,0.551077,-418.325958,-1653.351807,513.797974,-1.179751,1.071509,1.583467,-13.494592,-1778.778931,382.150635,2.746995,0.798009,-0.107678,-12.266694,-1682.320068,138.280731,-0.100085,0.012687,0.285710,-136.874832,-1605.074829,544.004578,0.047038,-0.047368,-0.079165,-256.473267,-1563.043457,210.398163
2,0,0.136787,-0.080531,0.186539,-294.615204,-1622.254517,535.934814,2.724833,-0.751838,1.232366,-261.727081,-1836.336060,913.035889,-0.910235,-1.078442,-0.968488,-501.503418,-1774.744263,356.924500,-0.508123,-1.305845,-0.916570,-518.568604,-1683.654053,127.044830,-0.152663,-0.195138,0.559142,-418.475616,-1653.250610,513.526245,-1.172168,1.070680,1.583784,-13.415692,-1778.363770,382.037445,2.747524,0.798214,-0.107333,-12.220804,-1682.008057,138.137726,-0.073723,0.006319,0.287714,-136.834900,-1604.906494,543.917175,0.048986,-0.045368,-0.079279,-256.444092,-1562.902710,210.339050
3,0,0.136936,-0.080232,0.185824,-294.507080,-1621.937744,535.935730,2.724406,-0.757538,1.232224,-261.410187,-1835.938721,912.982361,-0.910043,-1.078035,-0.967763,-501.388245,-1774.531250,357.021393,-0.507903,-1.306001,-0.916339,-518.474670,-1683.500732,127.145828,-0.154843,-0.194637,0.561475,-418.308929,-1653.029785,513.551697,-1.172353,1.071151,1.581766,-13.252355,-1778.029297,381.947968,2.746753,0.799053,-0.107927,-12.138921,-1681.722534,138.073410,-0.076948,0.005965,0.283628,-136.739487,-1604.477661,543.816650,0.048073,-0.047908,-0.078615,-256.484100,-1562.695923,210.302216
4,0,0.109094,-0.072049,0.172980,-294.707916,-1621.698486,536.368652,2.727122,-0.758025,1.232072,-261.035278,-1835.574707,912.927856,-0.910939,-1.077395,-0.967853,-501.252655,-1774.336182,357.119812,-0.503047,-1.327623,-0.915934,-518.273865,-1683.258911,126.927551,-0.151003,-0.209115,0.553630,-417.935059,-1652.645630,513.876770,-1.171445,1.070679,1.582411,-13.138591,-1777.688354,381.880219,2.746553,0.798540,-0.109655,-12.057256,-1681.421021,138.010101,-0.069274,0.004544,0.290755,-136.399216,-1604.062378,543.747192,0.055602,-0.054329,-0.092502,-256.310577,-1562.129028,210.125031
5,0,0.134326,-0.080230,0.185361,-294.274780,-1621.286499,535.957947,2.731698,-0.737367,1.233869,-260.515930,-1835.502686,912.999878,-0.910055,-1.078479,-0.968087,-501.159851,-1774.109619,357.242859,-0.505029,-1.329188,-0.916552,-518.201111,-1683.020142,127.013176,-0.150363,-0.208128,0.553887,-417.792603,-1652.361084,513.902588,-1.176192,1.073601,1.589908,-12.986872,-1777.429077,381.837860,2.747432,0.797542,-0.108456,-12.011635,-1681.120850,137.895569,-0.076947,0.005770,0.286035,-136.458344,-1603.722168,543.738525,0.051047,-0.047292,-0.084747,-256.379059,-1562.319824,210.260544
6,0,0.136245,-0.080867,0.185195,-294.140137,-1621.002197,535.878479,2.725667,-0.754666,1.233394,-260.318115,-1834.823608,912.925354,-0.909815,-1.078883,-0.968101,-501.039032,-1773.864502,357.339874,-0.505009,-1.327915,-0.915825,-518.113403,-1682.803711,127.073364,-0.151019,-0.207884,0.551689,-417.665619,-1652.061035,513.912292,-1.177875,1.072443,1.590198,-12.840610,-1777.093384,381.762787,2.748088,0.797009,-0.107838,-11.952269,-1680.774536,137.808807,-0.079470,0.003834,0.291364,-136.284821,-1603.358032,543.679504,0.057615,-0.056554,-0.095401,-256.240509,-1561.780029,210.025803
7,0,0.137317,-0.080242,0.185294,-294.004211,-1620.691650,535.811890,2.722934,-0.754720,1.233043,-259.949799,-1834.393066,912.931274,-0.909771,-1.080022,-0.968501,-500.894257,-1773.610352,357.421448,-0.506306,-1.328781,-0.915539,-518.049377,-1682.577881,127.136383,-0.153752,-0.208882,0.550838,-417.528809,-1651.797974,513.916443,-1.172543,1.072503,1.586398,-12.765960,-1776.581543,381.699860,2.749143,0.795891,-0.102154,-11.950002,-1680.417114,137.666458,-0.081312,0.004185,0.291279,-136.181183,-1603.031372,543.618530,0.054311,-0.053221,-0.092009,-256.271820,-1561.424316,209.989395
8,0,0.149559,-0.081991,0.193395,-293.728668,-1620.328003,535.599487,2.706535,-0.761405,1.237123,-259.482788,-1834.106445,913.151611,-0.911294,-1.077896,-0.967242,-500.758240,-1773.367920,357.447815,-0.507100,-1.328065,-0.915676,-517.972473,-1682.369263,127.182198,-0.151377,-0.208270,0.552821,-417.366669,-1651.514282,513.917297,-1.157058,1.062921,1.579869,-12.740998,-1775.871826,381.409637,2.753723,0.791993,-0.092853,-12.035804,-1680.082397,137.463898,-0.082317,0.005855,0.289948,-136.077423,-1602.663452,543.547363,0.053414,-0.052222,-0.091957,-256.180145,-1561.177490,209.886520
9,0,0.111200,-0.069037,0.177321,-293.883087,-1620.098877,536.144836,2.709323,-0.765369,1.238731,-259.081573,-1833.710815,913.128784,-0.911800,-1.076350,-0.966843,-500.605347,-1773.103638,357.519012,-0.506870,-1.328545,-0.915838,-517.904785,-1682.181274,127.243843,-0.151640,-0.208477,0.552418,-417.244843,-1651.207153,513.938782,-1.169492,1.065644,1.583545,-12.517059,-1775.702026,381.399048,2.752239,0.792912,-0.093449,-11.988744,-1679.708984,137.388123,-0.078258,0.006228,0.291780,-135.887421,-1602.241821,543.502563,0.053060,-0.054010,-0.089346,-256.116089,-1560.977295,209.789215
