Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.080603,-0.016546,-0.002116,389.955841,-803.710266,544.837097,-0.203946,0.068879,-0.092452,429.785248,-1024.303711,925.492188,0.570336,0.064398,-0.037316,-7.778180,-967.240295,621.548645,0.228488,-0.006408,0.004872,-235.014511,-950.194946,603.881348,0.002395,-0.021872,0.057521,265.493530,-827.187622,527.296753,0.112018,-0.066203,0.373576,837.122925,-976.592957,646.391907,2.661022,-0.058527,1.708316,1062.881592,-916.741394,634.788025,0.076661,0.000041,0.059452,553.402893,-827.329285,541.864502,0.116910,0.017214,-0.005835,402.352386,-737.908691,223.484894
2,0,0.083952,-0.016794,0.000474,389.693207,-803.160034,544.729431,-0.201377,0.065479,-0.094036,429.607605,-1023.391968,925.582397,0.568462,0.065053,-0.039030,-7.984139,-967.057922,621.201416,0.234699,0.002592,0.010635,-235.120880,-949.273804,604.279846,0.000481,-0.020586,0.052528,265.225433,-826.740417,527.204041,0.126087,-0.072123,0.364881,837.062439,-975.998169,646.262146,2.659623,-0.062071,1.718137,1062.700928,-916.111389,634.282715,0.074030,-0.000902,0.058393,553.130798,-826.748413,541.865417,0.115226,0.016224,-0.005485,402.036499,-737.367737,223.431763
3,0,0.086630,-0.017843,0.001769,389.374725,-802.523315,544.695679,-0.203192,0.068026,-0.091200,429.238312,-1022.615906,925.924011,0.568474,0.061930,-0.042804,-8.119287,-966.924377,620.929138,0.248827,-0.005481,-0.001418,-235.666672,-948.512207,604.728455,0.001842,-0.019372,0.051795,264.913422,-826.179260,527.158203,0.119363,-0.064138,0.370425,836.650452,-975.499390,645.572083,2.662327,-0.065217,1.722121,1062.333252,-915.367249,633.874084,0.074408,0.000286,0.059503,552.836609,-826.084351,541.839844,0.115728,0.015897,-0.003374,401.679932,-736.823242,223.405838
4,0,0.083884,-0.016447,-0.000210,388.996216,-801.886658,544.735291,-0.206658,0.066632,-0.091825,429.081787,-1021.603699,925.815857,0.566110,0.064011,-0.041181,-8.427117,-966.774170,620.626892,0.242717,0.024856,-0.003427,-236.006790,-947.826599,605.368835,0.002259,-0.020940,0.056415,264.592010,-825.588196,527.141174,0.129633,-0.066396,0.368058,836.397644,-975.022156,645.204346,2.667046,-0.067058,1.720796,1061.926514,-914.699158,633.622864,0.076525,0.000516,0.057320,552.453796,-825.436829,541.789856,0.114668,0.016337,-0.001521,401.271423,-736.240601,223.390701
5,0,0.082330,-0.017078,0.001142,388.636505,-801.267700,544.739441,-0.208137,0.069130,-0.091971,428.744019,-1020.760071,926.076904,0.563935,0.066723,-0.038614,-8.775328,-966.646606,620.330200,0.247411,0.029027,-0.008175,-236.329453,-946.989319,606.206970,-0.002562,-0.024948,0.059452,264.224976,-825.011414,527.157288,0.131905,-0.062509,0.369902,835.991150,-974.595459,644.532837,2.672610,-0.067918,1.721132,1061.578369,-913.987793,633.423279,0.076261,0.006190,0.058814,552.047668,-824.704895,541.727539,0.114362,0.016592,-0.001732,400.824799,-735.645264,223.357773
6,0,0.082974,-0.017155,0.003245,388.236511,-800.591553,544.678528,-0.206683,0.068751,-0.090331,428.427551,-1019.812317,926.321411,0.562041,0.067211,-0.040345,-9.045547,-966.535645,620.034119,0.254560,0.010511,-0.012901,-236.667999,-945.873718,607.266602,-0.002348,-0.023485,0.052213,263.852875,-824.538635,527.072876,0.136122,-0.061195,0.371017,835.565735,-974.135498,643.809143,2.681430,-0.071091,1.725074,1061.197266,-913.238464,633.230957,0.076750,0.000636,0.058655,551.695496,-823.924805,541.716370,0.117014,0.019900,-0.004244,400.362640,-735.122986,223.242889
7,0,0.080989,-0.015658,0.001613,387.770111,-799.915466,544.652344,-0.208755,0.067702,-0.092363,428.104492,-1018.807556,926.408875,0.555321,0.068245,-0.042360,-9.265190,-966.419312,619.518188,0.253404,0.035081,-0.020636,-237.055069,-944.991272,608.307739,0.000896,-0.021095,0.054858,263.437347,-823.907837,526.992676,0.119841,-0.074986,0.357590,835.277405,-973.671692,642.312378,2.577112,-1.663194,0.727319,1081.093506,-866.368408,662.389709,0.073716,-0.001536,0.059410,551.279846,-823.129883,541.676392,0.112797,0.015970,0.001377,399.832581,-734.518677,223.173752
8,0,0.081564,-0.016069,0.003833,387.302216,-799.215759,544.523438,-0.206725,0.066918,-0.089488,427.846985,-1017.857788,926.423218,0.551398,0.067867,-0.045107,-9.531324,-966.381897,619.142578,0.253199,0.045250,-0.024847,-237.345322,-943.995605,609.610168,0.001355,-0.022459,0.061816,262.965973,-823.261414,526.927063,0.145165,-0.076715,0.356055,834.843872,-973.228455,641.867676,2.590713,-1.658365,0.713733,1080.266479,-865.920898,662.915955,0.072942,0.001097,0.060024,550.823914,-822.292908,541.574463,0.113415,0.016106,0.001356,399.343231,-733.993591,223.028656
9,0,0.079996,-0.016471,0.004572,386.772797,-798.495178,544.405212,-0.209871,0.069565,-0.088058,427.421722,-1016.921143,926.479248,0.549412,0.067862,-0.045578,-9.857888,-966.350403,618.814880,0.262074,0.027312,-0.031063,-237.705856,-942.849182,611.099915,-0.003505,-0.023212,0.058425,262.501740,-822.764343,526.764038,0.111111,-0.064884,0.364977,834.052246,-972.884338,639.794556,2.600644,-1.667956,0.712511,1079.569336,-865.367126,663.530396,0.075629,0.003257,0.062751,550.354797,-821.384827,541.376465,0.112003,0.015867,0.000733,398.789825,-733.405212,222.880737
10,0,0.081903,-0.015275,0.005895,386.223114,-797.737488,544.220947,-0.206809,0.067475,-0.090685,427.217834,-1015.842224,926.372314,0.562693,0.075821,-0.042076,-10.263490,-966.651794,618.859558,0.263942,0.033552,-0.039089,-238.045898,-941.713562,612.696899,-0.003240,-0.019950,0.055257,261.980560,-822.143738,526.563721,0.140891,-0.080789,0.345859,833.869751,-972.440613,639.174011,0.028663,0.005532,0.126953,1058.875366,-914.424988,633.424255,0.072324,0.005066,0.062371,549.829346,-820.473633,541.241760,0.112026,0.015335,0.001695,398.194458,-732.793701,222.687958
11,0,0.078549,-0.015992,0.007689,385.653900,-796.978821,544.035889,-0.211142,0.068471,-0.088380,426.916718,-1014.759521,926.111389,0.559007,0.080241,-0.043645,-10.652622,-966.715515,618.421326,0.266058,0.042421,-0.047998,-238.383774,-940.555481,614.425354,-0.004206,-0.022806,0.063168,261.397766,-821.461792,526.348206,0.127473,-0.069185,0.354670,832.999695,-972.255554,637.253235,0.046390,0.004712,0.134485,1058.107788,-913.574402,633.552185,0.074429,0.002376,0.062508,549.237671,-819.505188,541.019409,0.111445,0.015993,0.002079,397.556793,-732.167664,222.409729
12,0,0.076731,-0.015882,0.006489,384.951904,-796.151367,543.797546,-0.212093,0.071050,-0.088960,426.519379,-1013.744385,926.049072,0.557415,0.082105,-0.046023,-10.995129,-966.740906,618.064331,0.269827,0.050207,-0.053649,-238.684769,-939.250305,616.224121,-0.004164,-0.024439,0.061742,260.811157,-820.902527,526.093018,0.125774,-0.066650,0.354187,832.354065,-971.990356,635.562012,0.060201,-0.000273,0.140719,1057.415283,-912.586731,633.612915,0.067230,0.003406,0.065824,548.678711,-818.471008,540.814575,0.111562,0.015987,0.003065,396.914154,-731.490112,222.118393
13,0,0.076864,-0.015369,0.009525,384.342499,-795.364197,543.528320,-0.210741,0.070385,-0.088400,426.204285,-1012.533447,925.781616,0.553688,0.083585,-0.049496,-11.284275,-966.701538,617.547119,0.270902,0.064468,-0.064462,-238.887466,-937.884094,618.160645,-0.003948,-0.021252,0.060423,260.214630,-820.231445,525.725342,0.140965,-0.073922,0.342750,831.970093,-971.623474,634.177429,0.074736,-0.012200,0.147775,1056.598145,-911.476746,633.434631,0.072352,0.004792,0.065726,548.034363,-817.464050,540.474792,0.111492,0.017107,0.003136,396.166718,-730.696045,221.842529
14,0,0.078172,-0.016153,0.010753,383.634827,-794.506836,543.209534,-0.205749,0.070928,-0.084675,425.814728,-1011.449585,925.655212,0.545498,0.088309,-0.051063,-11.736723,-966.832275,616.945312,0.268694,0.076159,-0.073410,-239.081421,-936.355591,620.242432,-0.006674,-0.024344,0.066915,259.498444,-819.544556,525.449036,0.139917,-0.073220,0.346637,831.209106,-971.360291,632.317749,0.083206,-0.026922,0.147902,1055.953979,-910.202026,633.265503,0.025514,-0.004494,0.121158,547.898132,-815.307495,540.813049,0.111088,0.017434,0.004642,395.366852,-729.864746,221.491928
15,0,0.080053,-0.016192,0.012702,382.904480,-793.638977,542.860657,-0.208328,0.071755,-0.087778,425.412445,-1010.177490,925.394287,0.541183,0.089868,-0.053792,-12.142999,-966.916077,616.392212,0.270428,0.082614,-0.085519,-239.256287,-934.708313,622.409058,-0.006432,-0.022865,0.063819,258.866211,-818.959534,525.093750,0.136605,-0.071962,0.345022,830.518494,-971.107178,630.333801,0.094210,-0.034811,0.157603,1054.827637,-908.771973,633.168884,0.026639,-0.005142,0.121601,547.226501,-814.332520,540.464722,0.112136,0.016932,0.010291,394.491608,-728.959045,221.179016
16,0,0.079044,-0.016776,0.014409,382.187378,-792.777405,542.545227,-0.208563,0.072117,-0.087888,424.996460,-1008.962769,925.168518,0.536214,0.090837,-0.055110,-12.641944,-967.090881,615.771729,0.270116,0.093042,-0.097718,-239.257599,-932.890442,624.590393,-0.005580,-0.022766,0.066302,258.178345,-818.225281,524.772949,0.131477,-0.068961,0.346469,829.738892,-970.904358,628.181152,0.108396,-0.038614,0.172114,1053.584717,-907.213074,633.306458,0.026706,-0.004717,0.123228,546.543823,-813.281067,540.090210,0.110486,0.016108,0.013136,393.526489,-727.966614,220.873123
17,0,0.080133,-0.015688,0.015751,381.435638,-791.818542,542.179810,-0.207178,0.073755,-0.087850,424.553955,-1007.669800,924.964294,0.530685,0.095167,-0.058479,-12.968050,-967.230103,614.984375,0.266166,0.124748,-0.110011,-239.137833,-930.913452,626.791382,-0.006191,-0.023593,0.068396,257.426605,-817.562561,524.404541,0.123470,-0.066207,0.345797,828.938110,-970.788391,625.856384,0.110139,-0.051740,0.182558,1052.197876,-905.443542,633.167053,0.025711,-0.005703,0.121936,545.807617,-812.188843,539.690796,0.111828,0.016992,0.017812,392.565125,-726.996033,220.505127
18,0,0.081661,-0.017176,0.019173,380.627899,-790.852905,541.744690,-0.207961,0.074771,-0.087184,424.050690,-1006.414185,924.752563,0.518861,0.100846,-0.058758,-13.474086,-967.518433,614.073792,0.269571,0.120387,-0.124429,-238.934891,-928.830566,629.075317,-0.009487,-0.023039,0.069387,256.710297,-816.853088,523.947937,0.115313,-0.063021,0.346410,828.036194,-970.684387,623.385742,0.115468,-0.063038,0.192099,1050.416016,-903.445679,632.874512,0.029741,-0.006247,0.122428,545.015625,-811.010986,539.210693,0.109388,0.016194,0.022378,391.545288,-725.972900,220.095993
19,0,0.081126,-0.016302,0.019495,379.795135,-789.812256,541.315247,-0.208655,0.076147,-0.087018,423.525665,-1005.066895,924.492432,0.509843,0.102632,-0.057346,-14.034547,-967.728210,613.218262,0.268902,0.131817,-0.138518,-238.594696,-926.674622,631.384033,-0.009366,-0.026123,0.075358,255.913498,-815.988403,523.563354,0.106089,-0.061627,0.348595,827.002686,-970.604736,620.803528,0.116591,-0.079916,0.200376,1048.974243,-901.484863,632.477783,0.027326,-0.005860,0.122979,544.246399,-809.764282,538.799133,0.111068,0.017175,0.026868,390.582642,-725.041077,219.607315
20,0,0.079508,-0.016263,0.021992,378.946991,-788.720520,540.844910,-0.207607,0.077565,-0.087503,422.954071,-1003.682617,924.195129,0.508786,0.099066,-0.070678,-14.180060,-967.890869,612.293579,0.262440,0.156362,-0.158376,-238.247330,-924.372437,633.590759,-0.009130,-0.024815,0.072084,255.146408,-815.247986,522.964417,0.086814,-0.051496,0.355836,825.684204,-970.573914,617.842896,0.125143,-0.086691,0.220002,1046.816528,-899.615601,632.089661,0.025151,-0.003136,0.121419,543.387451,-808.494812,538.225708,0.107380,0.015703,0.030294,389.522827,-724.091614,219.041962
21,0,0.081442,-0.015415,0.024142,378.108887,-787.621216,540.264526,-0.204039,0.081616,-0.085686,422.233673,-1002.341492,924.110901,0.504973,0.097145,-0.078830,-14.427483,-968.016235,611.261169,0.264509,0.170284,-0.176501,-237.589783,-921.969604,635.632996,-0.000800,-0.034108,0.099852,254.431641,-814.553833,522.247253,0.088823,-0.054568,0.348775,824.799683,-970.306335,615.441772,0.120726,-0.105465,0.225806,1044.821777,-897.343689,631.331299,0.026392,-0.002796,0.125158,542.613708,-807.114624,537.668457,0.108649,0.016243,0.031037,388.579834,-723.231323,218.437164
22,0,0.078315,-0.014631,0.024378,377.156647,-786.472351,539.740601,-0.204250,0.080345,-0.088099,421.725861,-1000.781921,923.495239,0.498952,0.092101,-0.089225,-14.621114,-968.220886,610.090637,0.265329,0.196100,-0.190807,-236.723419,-919.421997,637.584900,-0.014166,-0.027138,0.075515,253.506989,-813.568481,521.863586,0.077384,-0.050885,0.347927,823.679749,-970.130005,612.644653,0.126258,-0.109285,0.250619,1042.575195,-895.489258,630.738037,0.026715,-0.003032,0.122673,541.711426,-805.748047,537.042847,0.105201,0.016943,0.032902,387.559601,-722.357788,217.768204
23,0,0.077744,-0.014339,0.025189,376.269287,-785.294189,539.147156,-0.204440,0.082804,-0.088288,421.101929,-999.250000,923.030457,0.492911,0.089112,-0.097431,-14.873691,-968.449707,608.750671,0.267949,0.202884,-0.214401,-235.767761,-916.908264,639.453979,-0.017193,-0.027846,0.089232,252.606308,-812.478149,521.248352,0.060781,-0.043682,0.352218,822.404175,-970.029236,609.678223,0.135717,-0.128848,0.257351,1040.247070,-892.637268,629.394714,0.027354,-0.001470,0.125177,540.854431,-804.375305,536.449768,0.106310,0.017082,0.033038,386.608124,-721.534363,217.093292
24,0,0.079980,-0.014940,0.028725,375.347107,-784.060486,538.450867,-0.201479,0.084007,-0.089487,420.430359,-997.674622,922.610413,0.480338,0.092070,-0.099281,-15.302172,-968.769348,607.193359,0.265585,0.219763,-0.226984,-234.509506,-914.031921,641.089294,-0.018521,-0.026354,0.082761,251.856201,-811.762817,520.565430,0.040808,-0.037025,0.353868,821.093201,-970.073792,606.535034,0.138093,-0.136002,0.281562,1037.545654,-890.388184,628.165161,0.026809,-0.004778,0.123763,539.987427,-802.964905,535.811523,0.102262,0.017115,0.035451,385.576233,-720.644043,216.388855
25,0,0.079833,-0.015657,0.031598,374.513641,-782.940552,537.715393,-0.202643,0.087224,-0.089156,419.606964,-996.205627,922.316101,0.469661,0.094488,-0.101025,-15.714230,-969.060181,605.538818,0.266525,0.217618,-0.245204,-233.145004,-911.184570,642.616760,-0.022018,-0.029453,0.093409,250.898010,-810.591675,519.907104,0.026850,-0.029777,0.354081,819.742310,-970.096741,603.458130,0.138348,-0.152407,0.295481,1034.779053,-887.634094,626.505127,0.047684,-0.006485,0.121870,539.037659,-801.434265,534.939636,0.101723,0.016139,0.038839,384.548309,-719.817566,215.579514
26,0,0.073503,-0.014241,0.029981,373.485565,-781.525269,537.085083,-0.202542,0.086291,-0.090525,419.021301,-994.501282,921.605164,0.460019,0.094351,-0.106524,-15.983030,-969.284851,603.734314,0.265076,0.242815,-0.264508,-231.489990,-908.151917,643.891296,-0.020001,-0.026095,0.082008,250.120193,-809.820007,519.131531,0.013309,-0.024361,0.354502,818.364197,-970.101562,600.343750,0.131174,-0.165665,0.314321,1031.981689,-885.008118,624.730103,0.024164,-0.001827,0.123593,538.189819,-799.980774,534.395325,0.099025,0.016070,0.043554,383.516754,-718.961609,214.737350
