Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.198613,0.008713,-0.043619,-396.839478,-1309.124390,443.292480,-0.185533,-0.012620,0.169739,-406.371552,-1510.557007,761.156555,-0.631062,-1.187016,-0.852715,-629.093750,-1453.383423,258.429199,0.533437,-0.070438,1.291356,-655.883179,-1381.894409,27.125795,-0.263193,-0.014669,-0.178006,-522.460999,-1321.050171,439.053925,-0.795446,1.293205,0.304649,-151.179581,-1458.233765,274.978302,-0.836362,1.193110,0.631485,-134.154678,-1372.918823,30.816774,-0.371458,0.237384,-0.316442,-236.233963,-1344.978271,419.855042,-0.400204,-0.040581,-0.182639,-370.259064,-1326.019897,108.618141
2,0,-0.201631,0.008601,-0.046134,-397.471741,-1306.794434,443.321228,-0.187233,-0.017012,0.170728,-407.052704,-1508.202515,761.361816,-0.641613,-1.236591,-0.831491,-629.624939,-1449.762207,259.448059,0.536769,-0.076151,1.294036,-656.478149,-1379.868896,27.622719,-0.261757,-0.015647,-0.181995,-523.055542,-1318.706299,438.980499,-0.788446,1.284133,0.287695,-151.524139,-1456.697754,275.067169,-0.831592,1.200692,0.631039,-134.407852,-1371.416748,31.206869,-0.383190,0.236786,-0.319326,-236.779816,-1342.718384,420.027710,-0.401774,-0.041838,-0.181521,-370.699310,-1324.150513,108.632568
3,0,-0.205647,-0.001264,-0.033672,-397.794006,-1305.415161,442.670959,-0.191365,-0.013024,0.179856,-407.935425,-1505.977173,761.599060,-0.643606,-1.232397,-0.830089,-630.335266,-1447.559937,259.654327,0.518185,-0.071577,1.301905,-657.281860,-1377.546875,27.754145,-0.261967,-0.012000,-0.179480,-523.612244,-1316.143311,438.952820,-0.784142,1.291633,0.283036,-151.991653,-1455.191162,275.408813,-0.830703,1.203187,0.630863,-134.640259,-1369.835693,31.465233,-0.377126,0.230133,-0.318695,-237.325790,-1340.425415,420.132965,-0.402505,-0.041285,-0.183031,-371.039581,-1322.181519,108.592300
4,0,-0.178742,-0.000720,-0.021611,-398.016174,-1302.830322,442.089325,-0.187902,-0.023655,0.172038,-408.299011,-1503.140259,761.335022,-0.642790,-1.236809,-0.827357,-631.172424,-1445.178467,259.985107,0.520378,-0.071653,1.298510,-657.766479,-1375.068115,28.063770,-0.242548,-0.034435,-0.149949,-524.061096,-1313.836426,438.430115,-0.789159,1.299348,0.290058,-152.532532,-1453.840210,275.803558,-0.828540,1.200114,0.630446,-134.739868,-1368.246338,31.549372,-0.371322,0.227211,-0.320174,-237.823471,-1338.026611,420.107758,-0.404362,-0.043487,-0.185145,-371.276154,-1320.185059,108.483452
5,0,-0.180810,-0.003364,-0.022816,-398.554810,-1300.206055,441.766327,-0.189810,-0.028019,0.178376,-409.083984,-1500.427002,760.995850,-0.635537,-1.216263,-0.837161,-632.023560,-1443.203857,259.640228,0.539442,-0.079325,1.288891,-658.141663,-1372.517822,28.235004,-0.256224,-0.018936,-0.180671,-524.751221,-1310.891113,438.216644,-0.786584,1.300452,0.283390,-152.973099,-1452.040161,275.851501,-0.826788,1.202963,0.627214,-134.836334,-1366.472534,31.616024,-0.374193,0.231183,-0.322414,-238.426041,-1335.627563,419.895569,-0.409286,-0.043086,-0.182266,-371.496765,-1318.075317,108.162376
6,0,-0.179634,-0.003812,-0.021417,-398.931427,-1297.524536,441.291748,-0.192246,-0.022613,0.187642,-409.949738,-1497.874146,760.658691,-0.638782,-1.209700,-0.830290,-632.932190,-1440.661621,259.525940,0.533604,-0.101415,1.303134,-659.040588,-1369.717896,28.714550,-0.256505,-0.019346,-0.182637,-525.145508,-1308.029907,437.747528,-0.782229,1.287260,0.265199,-153.349030,-1449.839844,275.492889,-0.823944,1.206051,0.625921,-134.775818,-1364.623535,31.593994,-0.367393,0.224198,-0.320880,-238.841095,-1333.062622,419.631012,-0.408293,-0.047255,-0.184609,-371.589111,-1315.885254,107.876846
7,0,-0.181662,-0.003109,-0.026365,-399.346344,-1294.623779,440.865570,-0.185763,-0.022040,0.177173,-410.258057,-1494.889771,760.058411,-0.649382,-1.225498,-0.820188,-633.756653,-1437.569336,259.397949,-0.903828,-1.369522,-1.290195,-665.806885,-1370.068604,31.087608,-0.261221,-0.044832,-0.149824,-525.471069,-1305.186157,436.906830,-0.782408,1.294120,0.266620,-153.704834,-1447.684937,275.556152,-0.824524,1.189467,0.616051,-135.018341,-1362.779785,31.393658,-0.373117,0.229935,-0.321810,-239.287506,-1330.517090,419.318756,-0.410166,-0.048072,-0.185854,-371.604889,-1313.598022,107.519363
8,0,-0.182628,-0.004388,-0.024528,-399.629883,-1291.730591,440.276978,-0.180101,-0.026484,0.171804,-410.696930,-1491.667114,759.300232,-0.647823,-1.244156,-0.820370,-634.763733,-1434.715088,259.658722,-0.916218,-1.359687,-1.296329,-665.950439,-1366.482910,30.702267,-0.243444,-0.029589,-0.157018,-525.753662,-1302.171143,436.453705,-0.781848,1.294904,0.264329,-154.108139,-1445.352783,275.447784,-0.823371,1.201951,0.616405,-134.802399,-1360.605103,31.208895,-0.377811,0.226559,-0.326147,-239.639557,-1327.797241,418.970764,-0.411023,-0.049862,-0.188471,-371.609863,-1311.224487,107.064819
9,0,-0.184648,-0.004622,-0.026691,-399.947571,-1288.756104,439.671631,-0.180389,-0.019031,0.178161,-411.478912,-1488.663452,758.734131,-0.643003,-1.228320,-0.825786,-635.635803,-1432.157227,259.106262,-0.911020,-1.375593,-1.297870,-666.235962,-1362.997070,30.441601,-0.254374,-0.027749,-0.171687,-526.180847,-1299.222290,435.672943,-0.789706,1.292560,0.271313,-154.620712,-1443.101929,275.230865,-0.817662,1.211932,0.617137,-134.490540,-1358.454834,31.100929,-0.378744,0.223638,-0.324504,-239.855209,-1324.995850,418.649414,-0.414049,-0.051109,-0.188577,-371.612213,-1308.803955,106.539612
